PartitionKey,FileType,Category,CodeUnit,SourceDatabase,SourceSchema,CodeUnitName,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order,SourceLanguage
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_player_performance.sql,36,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_player_performance.sql,27,8,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,NotSupported,0%,1*,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,raw_schema,player_performance,raw_schema.player_performance,raw_schema_player_performance.sql,1,22,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,VIEW,CREATE VIEW,N/A,final_schema,vw_top_scorers_per_season,final_schema.vw_top_scorers_per_season,final_schema_vw_top_goalers_per_season_per_competition.sql,1,22,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_schema_children_team.sql,35,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_Schema,int_children_team_proc,intermediate_Schema.int_children_team_proc,int_schema_children_team.sql,21,13,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,TRUNCATE TABLE,N/A,N/A,N/A,N/A,int_schema_children_team.sql,19,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_children_team.sql,17,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,INSERT,N/A,N/A,N/A,N/A,int_schema_children_team.sql,8,7,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_children_team,intermediate_schema.int_children_team,int_schema_children_team.sql,1,6,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_player_injuries.sql,20,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,raw_schema_player_injuries.sql,11,8,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,NotSupported,0%,1*,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,raw_schema,player_injuries,raw_schema.player_injuries,raw_schema_player_injuries.sql,1,9,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_schema_int_player_injuries.sql,71,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_Schema,int_player_injuries_proc,intermediate_Schema.int_player_injuries_proc,int_schema_int_player_injuries.sql,43,23,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,TRUNCATE TABLE,N/A,N/A,N/A,N/A,int_schema_int_player_injuries.sql,42,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,int_schema_int_player_injuries.sql,34,5,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,DELETE,N/A,N/A,N/A,N/A,int_schema_int_player_injuries.sql,31,2,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,DELETE,N/A,N/A,N/A,N/A,int_schema_int_player_injuries.sql,28,2,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
